,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,-1.4,4.0,3.3,-6.2,4.7,0,,,,,
1,0 - 9,10-19,2.5,0.0,7.2,-2.3,4.7,0,,,,,
2,0 - 9,20-29,-2.4,0.0,2.4,-7.1,4.7,0,,,,,
3,0 - 9,30-39,-4.3,0.0,0.4,-9.0,4.7,0,,,,,
4,0 - 9,40-49,-1.4,0.0,3.3,-6.1,4.7,0,,,,,
5,0 - 9,50-89,-6.0,0.0,-1.3,-10.7,4.7,0,,,,,
6,10 - 19,1-9,4.2,1.0,8.9,-0.5,4.7,0,,,,,
7,10 - 19,10-19,12.2,1.0,16.9,7.5,4.7,0,,,,,
8,10 - 19,20-29,1.1,0.0,5.8,-3.7,4.7,0,,,,,
9,10 - 19,30-39,-2.8,0.0,1.9,-7.5,4.7,0,,,,,
10,10 - 19,40-49,0.3,0.0,5.1,-4.4,4.7,0,,,,,
11,10 - 19,50-89,0.3,0.0,5.0,-4.4,4.7,0,,,,,
12,20 - 29,1-9,5.1,10.0,9.8,0.3,4.7,0,,,,,
13,20 - 29,10-19,6.0,6.0,10.7,1.3,4.7,0,,,,,
14,20 - 29,20-29,-2.0,2.0,2.7,-6.7,4.7,0,,,,,
15,20 - 29,30-39,0.2,0.0,4.9,-4.5,4.7,0,,,,,
16,20 - 29,40-49,-0.9,0.0,3.9,-5.6,4.7,0,,,,,
17,20 - 29,50-89,1.6,0.0,6.3,-3.1,4.7,0,,,,,
18,30 - 39,1-9,14.4,7.0,19.1,9.7,4.7,0,,,,,
19,30 - 39,10-19,18.7,16.0,23.4,14.0,4.7,0,,,,,
20,30 - 39,20-29,4.8,4.0,9.5,0.1,4.7,0,,,,,
21,30 - 39,30-39,0.9,0.0,5.6,-3.8,4.7,0,,,,,
22,30 - 39,40-49,1.1,0.0,5.8,-3.6,4.7,0,,,,,
23,30 - 39,50-89,-1.1,1.0,3.6,-5.8,4.7,0,,,,,
24,40 - 49,1-9,26.1,28.0,30.9,21.4,4.7,0,,,,,
25,40 - 49,10-19,48.8,47.0,53.5,44.1,4.7,0,,,,,
